qasm_path,runtime,fidelity,matrix_product_state_max_bond_dimension,mps_lapack,opt_level,matrix_product_state_truncation_threshold,mps_sample_measure_algorithm
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,4.034440755844116,1.0,512,1,1,1e-7,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,3.178225040435791,1.0,2048,1,1,1e-6,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,0.5925126075744629,0.606,16,0,1,1e-8,mps_probabilities
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,3.1920158863067627,1.0,256,1,2,1e-6,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,5.102209806442261,1.0,512,0,2,1e-8,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,1.661311149597168,0.988,512,1,1,1e-4,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,2.439056396484375,0.999,512,1,2,1e-5,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,3.0472493171691895,1.0,2048,0,1,1e-6,mps_probabilities
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,4.579194784164429,1.0,512,1,2,1e-7,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,0.19096732139587402,0.201,2048,1,2,1e-2,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,4.116074085235596,1.0,2048,0,2,1e-7,mps_probabilities
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,3.2443394660949707,1.0,1024,1,1,1e-6,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,2.5055179595947266,0.999,1024,1,1,1e-5,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,0.5513148307800293,0.586,1024,1,2,1e-3,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,1.6780319213867188,0.988,1024,1,1,1e-4,mps_probabilities
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,1.6702642440795898,0.988,64,1,2,1e-4,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,1.6840436458587646,0.988,2048,1,3,1e-4,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,4.017866849899292,1.0,512,1,2,1e-7,mps_probabilities
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,0.13463473320007324,0.201,1024,1,1,1e-2,mps_probabilities
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,2.983126401901245,0.91,32,1,1,1e-8,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,0.491635799407959,0.58,32,1,2,1e-3,mps_probabilities
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,7.534464359283447,0.998,64,1,1,1e-7,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,4.423596143722534,1.0,2048,0,2,1e-7,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,4.988183259963989,1.0,256,1,2,1e-8,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,1.6583952903747559,0.988,64,1,1,1e-4,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,2.2087783813476562,0.999,256,0,1,1e-5,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,2.4903886318206787,0.999,2048,1,1,1e-5,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,4.852976322174072,1.0,1024,1,1,1e-8,mps_probabilities
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,0.33203792572021484,0.586,2048,0,1,1e-3,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,5.106068134307861,1.0,2048,1,1,1e-8,mps_probabilities
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,2.489919424057007,0.999,1024,1,1,1e-5,mps_probabilities
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,4.090191125869751,1.0,2048,0,1,1e-7,mps_probabilities
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,3.187211275100708,1.0,512,1,1,1e-6,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,4.83998966217041,1.0,2048,1,1,1e-8,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,2.432424783706665,0.999,512,1,1,1e-5,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,0.10031270980834961,0.201,512,0,1,1e-2,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,3.2550888061523438,1.0,2048,1,2,1e-6,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,0.1707298755645752,0.201,2048,1,1,1e-2,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,3.1367783546447754,1.0,2048,1,1,1e-6,mps_probabilities
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,3.0762128829956055,1.0,512,0,1,1e-6,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,1.2589070796966553,0.988,2048,0,1,1e-4,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,0.5535862445831299,0.606,16,0,2,1e-5,mps_apply_measure
